id,index,mask_area_results,circle_area_results,curvature_results,decimalLatitude,decimalLongitude,genus,specificEpithet,pr_cat_id,count_gt_thresh,ind_max_iou,max_mask_iou
NSW:NSW:NSW 303754,5,6.692302,2.764014,1.032063,-20.3,143.43,Eucalyptus,microneura,0,0,-1,0
NSW:NSW:NSW 304198,0,9.012099,6.336954,1.054414,-17.3,127.03,Eucalyptus,pantoleuca,0,0,-1,0
NSW:NSW:NSW 308761,3,8.931085,4.047057,1.041391,-29.53,150.58,Eucalyptus,chloroclada,0,0,-1,0
NSW:NSW:NSW 344498,7,1.361141,0.4746591,1.025407,-30.92,121.2,Eucalyptus,campaspe,0,0,-1,0
NSW:NSW:NSW 200471,2,2.886974,0.6021898,1.476323,-33.0,121.65,Eucalyptus,leptamba -- quadrans,0,0,-1,0
NSW:NSW:NSW 303754,3,21.55969,9.378397,1.008477,-20.3,143.43,Eucalyptus,microneura,0,0,-1,0
NSW:NSW:NSW 355737,0,8.221415,2.035976,1.051356,-30.35,149.85,Angophora,leiocarpa,0,0,-1,0
NSW:NSW:NSW 316385,3,5.667885,2.439665,1.150808,-37.07,143.58,Eucalyptus,nortonii,0,0,-1,0
NSW:NSW:NSW 370638,2,45.02868,18.03437,1.027371,-18.27,142.62,Corymbia,gilbertensis,0,0,-1,0
NSW:NSW:NSW 316385,6,5.601487,2.629113,1.025603,-37.07,143.58,Eucalyptus,nortonii,0,0,-1,0
NSW:NSW:NSW 317087,3,7.084784,3.780464,1.076061,-34.78,150.05,Eucalyptus,cinerea,0,0,-1,0
NSW:NSW:NSW 355720,1,4.668435,1.165677,1.067827,-30.88,149.7,Angophora,leiocarpa,0,0,-1,0
NSW:NSW:NSW 143556,6,6.469391,1.937878,1.03726,-33.7,151.1,Angophora,costata,0,0,-1,0
NSW:NSW:NSW 370269,2,15.29697,3.34243,1.239014,-17.73,123.57,Corymbia,cadophora,0,0,-1,0
NSW:NSW:NSW 308761,0,13.67217,7.286122,1.0086,-29.53,150.58,Eucalyptus,chloroclada,0,0,-1,0
NSW:NSW:NSW 355795,3,7.810894,2.486711,1.035884,-24.08,149.38,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 143556,2,8.283139,3.144686,1.023638,-33.7,151.1,Angophora,costata,0,0,-1,0
NSW:NSW:NSW 328914,11,5.599232,1.168393,1.046507,-33.87,147.77,Eucalyptus,melliodora,0,0,-1,0
NSW:NSW:NSW 256744,4,5.144268,1.04063,1.291552,-32.7169444,150.9694444,Eucalyptus,fergusonii,0,0,-1,0
NSW:NSW:NSW 843037,3,25.13256,9.282774,1.082428,-27.5386,152.8583,Corymbia,intermedia,0,0,-1,0
NSW:NSW:NSW 301926,0,29.9162,17.03949,1.076368,-14.7,132.27,Corymbia,foelscheana,0,0,-1,0
NSW:NSW:NSW 821182,0,40.01759,9.4162,1.156254,-27.7164,152.0903,Corymbia,gummifera,0,0,-1,0
NSW:NSW:NSW 355692,7,2.197374,0.4768942,1.116277,-31.4,148.92,Angophora,floribunda,0,0,-1,0
NSW:NSW:NSW 328914,6,8.751674,2.159214,1.20479,-33.87,147.77,Eucalyptus,melliodora,0,0,-1,0
NSW:NSW:NSW 821182,1,26.37611,7.846321,1.183066,-27.7164,152.0903,Corymbia,gummifera,0,0,-1,0
NSW:NSW:NSW 355830,11,2.57319,0.6847551,1.195356,-29.18,147.87,Angophora,melanoxylon,0,0,-1,0
NSW:NSW:NSW 303754,9,19.27827,7.951761,1.049483,-20.3,143.43,Eucalyptus,microneura,0,0,-1,0
NSW:NSW:NSW 312015,2,5.241907,1.153231,1.053152,-24.63,132.22,Corymbia,chippendalei,0,0,-1,0
NSW:NSW:NSW 496208,3,9.296466,1.890075,1.114454,-32.9266667,151.4175,Eucalyptus,longifolia,0,0,-1,0
